Columns,02_A1.d,03_A2.d,04_A3.d,05_A4.d,06_A5.d,07_A6.d,08_A7.d,09_A8.d,10_A9.d,12_A10.d,13_A11.d,14_A12.d,15_B1.d,16_B2.d,17_B3.d,18_B4.d,19_B5.d,20_B6.d,22_B7.d,23_B8.d,24_B9.d,25_B10.d,26_B11.d,27_B12.d,28_C1.d,29_C2.d,30_C3.d,32_C4.d,33_C5.d,34_C6.d,35_C7.d,36_C8.d,37_C9.d,38_C10.d,39_C11.d,40_C12.d,42_D1.d,43_D2.d,44_D3.d,45_D4.d,46_D5.d,47_D6.d,48_D7.d,49_D8.d,50_D9.d,52_D10.d,53_D11.d,54_D12.d,55_E1.d,56_E2.d,57_E3.d,58_E4.d,59_E5.d,60_E6.d,62_E7.d,63_E8.d,64_E9.d,65_E10.d,66_E11.d,67_E12.d,68_F1.d,68_F2.d,68_F3.d,72_F4.d,73_F5.d,74_F6.d,75_F7.d,76_F8.d,77_F9.d,78_F10.d,79_F11.d,80_F12.d,82_G1.d,83_G2.d,84_G3.d,85_G4.d,86_G5.d,87_G6.d,88_G7.d,89_G8.d,90_G9.d,92_G10.d,93_G11.d,94_G12.d,95_H1.d,96_H2.d,97_H3.d,98_H4.d,99_H5.d,100_H6.d,102_H7.d,103_H8.d,104_H9.d,105_H10.d,106_H11.d,107_H12.d
C,
U,
G,
A,
m1G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m2G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,72720.0,50144.0,58888.0,66689.0,30786.0,34213.0,35777.0,50825.0,75859.0,73975.0,69663.0,75729.0,71219.0,50853.0,60749.0,81897.0,30464.0,1738882.0,36699.0,41180.0,74280.0,79092.0,60670.0,73958.0,72592.0,53247.0,61907.0,59977.0,33319.0,29881.0,37608.0,45499.0,76364.0,72828.0,78600.0,61554.0,96370.0,69676.0,85317.0,89475.0,38443.0,34163.0,42167.0,46604.0,72214.0,62515.0,58589.0,81441.0,86975.0,59477.0,71275.0,72900.0,28929.0,41303.0,53635.0,38964.0,74349.0,68984.0,75168.0,78759.0,95441.0,69554.0,68020.0,67591.0,45456.0,45368.0,40809.0,2060600.0,70645.0,63327.0,70668.0,73050.0,105530.0,62259.0,72080.0,77525.0,33448.0,35053.0,37735.0,2330339.0,59676.0,74969.0,74787.0,0,79071.0,91823.0,59822.0,81270.0,40232.0,0,37815.0,2109681.0,3344107.0,71157.0,49623.0,69716.0
ho5U,1595.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2491.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s2C,193515.0,132849.0,171745.0,199666.0,84289.0,95278.0,103119.0,150086.0,227280.0,219496.0,210029.0,226333.0,216857.0,141828.0,180472.0,237882.0,84310.0,81836.0,104022.0,112503.0,221660.0,240756.0,177733.0,212272.0,214036.0,157515.0,180204.0,170268.0,92995.0,81599.0,106424.0,132926.0,229189.0,214498.0,218884.0,171620.0,284166.0,217146.0,267052.0,264350.0,105297.0,100415.0,118253.0,131205.0,212767.0,181146.0,163863.0,241807.0,242022.0,174252.0,208854.0,221227.0,78763.0,118345.0,153041.0,110170.0,215047.0,202635.0,224202.0,224736.0,280261.0,201782.0,196430.0,197070.0,119910.0,126356.0,116041.0,0,209658.0,178098.0,211777.0,206557.0,300435.0,187409.0,207568.0,237014.0,88455.0,101072.0,108873.0,0,179343.0,222077.0,225683.0,0,216693.0,282162.0,170827.0,253142.0,111878.0,0,110014.0,109664.0,174413.0,215796.0,131987.0,202879.0
15N-dA,433518.0,322683.0,319021.0,326974.0,332157.0,323079.0,321123.0,324680.0,303106.0,299934.0,306120.0,303404.0,465613.0,351321.0,334471.0,336622.0,338453.0,342783.0,325791.0,344699.0,312113.0,298508.0,311686.0,299605.0,463002.0,343336.0,339380.0,318818.0,345731.0,349404.0,347297.0,346786.0,304192.0,299810.0,305115.0,302487.0,422182.0,318886.0,309678.0,315528.0,345355.0,345238.0,338378.0,342785.0,290258.0,286671.0,309963.0,294990.0,419626.0,329640.0,319387.0,325593.0,347626.0,339477.0,317994.0,345578.0,284477.0,286886.0,290011.0,302820.0,429248.0,323019.0,322042.0,309638.0,324250.0,331250.0,336694.0,321532.0,288059.0,295753.0,292976.0,285341.0,433050.0,325953.0,322287.0,316950.0,340940.0,336834.0,329593.0,318684.0,283376.0,273518.0,279791.0,124616.0,367599.0,302802.0,316733.0,299477.0,331063.0,297606.0,309459.0,321705.0,282442.0,278398.0,312605.0,312994.0
ac4C,2594.0,1899.0,3354.0,2377.0,1272.0,1067.0,1070.0,875.0,1650.0,1516.0,1240.0,1109.0,3071.0,2144.0,2109.0,2163.0,1009.0,856.0,1046.0,803.0,1648.0,1564.0,1280.0,1434.0,2949.0,2227.0,1594.0,2098.0,1057.0,799.0,1076.0,897.0,1167.0,975.0,1240.0,1159.0,2835.0,2393.0,2439.0,1830.0,1063.0,796.0,556.0,984.0,984.0,1278.0,997.0,1175.0,2522.0,2219.0,2054.0,1851.0,878.0,843.0,774.0,697.0,1074.0,978.0,1102.0,757.0,3878.0,1943.0,1762.0,1923.0,1580.0,637.0,730.0,483.0,1555.0,908.0,807.0,740.0,2849.0,2077.0,2477.0,2324.0,643.0,827.0,680.0,465.0,858.0,1030.0,602.0,874.0,2900.0,2602.0,3060.0,2818.0,675.0,955.0,1193.0,958.0,747.0,1019.0,1288.0,977.0
acp3U,208836.0,144255.0,167494.0,189301.0,84955.0,89345.0,97271.0,132232.0,211322.0,216792.0,202229.0,222499.0,211481.0,146530.0,174800.0,223959.0,81284.0,76348.0,95965.0,102340.0,203336.0,229131.0,181099.0,218544.0,197776.0,137816.0,172945.0,171276.0,84733.0,76003.0,100827.0,120639.0,211333.0,202770.0,216433.0,181647.0,260692.0,190924.0,222130.0,233606.0,98322.0,88922.0,109705.0,121448.0,201465.0,168952.0,167744.0,227932.0,227549.0,164569.0,198134.0,200521.0,70560.0,111200.0,142514.0,111129.0,199623.0,198212.0,206258.0,214907.0,247574.0,180292.0,187668.0,186726.0,112136.0,116008.0,106909.0,25679.0,196568.0,174230.0,198003.0,196853.0,280016.0,180616.0,193509.0,220420.0,86832.0,90987.0,86058.0,47358.0,105182.0,211661.0,226086.0,40409.0,214592.0,257232.0,163318.0,198884.0,104153.0,23873.0,95665.0,67634.0,65342.0,193701.0,135331.0,191715.0
Am,96252.0,60334.0,77574.0,80854.0,29746.0,34703.0,34026.0,45413.0,65531.0,66309.0,58239.0,60670.0,110223.0,66016.0,81769.0,101220.0,31371.0,29057.0,34607.0,34596.0,67869.0,73735.0,52854.0,61144.0,106059.0,76507.0,74643.0,77772.0,30851.0,30901.0,36713.0,42497.0,69792.0,63969.0,66330.0,52602.0,128930.0,97262.0,111413.0,111065.0,35467.0,35063.0,37424.0,40944.0,63507.0,56668.0,46075.0,70340.0,118427.0,78528.0,89877.0,94001.0,29619.0,41827.0,45388.0,35420.0,62303.0,61448.0,64909.0,59248.0,133335.0,88249.0,85543.0,76957.0,43707.0,40734.0,36658.0,34265.0,65841.0,53956.0,60660.0,58545.0,125482.0,81617.0,85627.0,100500.0,29545.0,34938.0,35533.0,39156.0,55404.0,61163.0,62340.0,60215.0,94785.0,118638.0,82177.0,108146.0,36023.0,35093.0,37376.0,32597.0,51422.0,61073.0,44305.0,56955.0
Cm,510645.0,365493.0,453097.0,494998.0,199180.0,228898.0,234195.0,339426.0,483148.0,447023.0,440036.0,473213.0,591257.0,376650.0,476758.0,586237.0,201948.0,192528.0,233207.0,253062.0,479382.0,496262.0,384349.0,439578.0,550593.0,406529.0,453112.0,428109.0,201718.0,190835.0,245278.0,292312.0,470027.0,438965.0,450702.0,358041.0,686248.0,527361.0,642777.0,643501.0,234832.0,229432.0,252420.0,286200.0,435613.0,377265.0,350924.0,485341.0,605792.0,435872.0,522764.0,540786.0,178861.0,264550.0,321165.0,246029.0,437615.0,407785.0,461357.0,451280.0,692251.0,496795.0,482658.0,473675.0,261326.0,270544.0,255247.0,0,415512.0,366560.0,421413.0,417420.0,714945.0,463735.0,519459.0,566244.0,200275.0,220471.0,242444.0,0,384165.0,449586.0,452741.0,0,532738.0,663992.0,430391.0,591519.0,236635.0,0,234814.0,232735.0,0,429454.0,273808.0,421586.0
cmo5U,9331.0,6662.0,8540.0,9272.0,3867.0,4592.0,4477.0,6332.0,9347.0,9572.0,9607.0,10500.0,9269.0,6970.0,9188.0,11039.0,3894.0,4024.0,4865.0,5245.0,10337.0,11655.0,9252.0,10387.0,9577.0,8309.0,9881.0,9178.0,4501.0,4684.0,5398.0,6191.0,11290.0,11491.0,12061.0,9926.0,12830.0,12057.0,13739.0,15147.0,6324.0,5085.0,6382.0,7024.0,11444.0,10036.0,9305.0,13168.0,11785.0,10592.0,12329.0,12058.0,4220.0,6866.0,8306.0,6572.0,12039.0,10736.0,12589.0,12584.0,13075.0,11411.0,11708.0,11418.0,7220.0,7317.0,6978.0,2111.0,11755.0,10132.0,11273.0,11721.0,15044.0,12274.0,12861.0,13856.0,5525.0,5911.0,6115.0,3705.0,10130.0,12291.0,13233.0,3076.0,12383.0,16865.0,11338.0,14908.0,7317.0,2144.0,6003.0,6083.0,6514.0,11949.0,8078.0,11554.0
D_115,245266.0,185672.0,223092.0,245271.0,123044.0,137409.0,153634.0,194798.0,287480.0,291106.0,274856.0,301016.0,273858.0,196398.0,233188.0,282834.0,128086.0,121840.0,151327.0,164180.0,283733.0,302526.0,258756.0,300333.0,269567.0,203492.0,237924.0,233359.0,137325.0,112795.0,162663.0,190481.0,298599.0,283784.0,315223.0,261406.0,350079.0,253230.0,290175.0,310139.0,145744.0,141180.0,171981.0,190306.0,287412.0,236860.0,241568.0,312952.0,304554.0,222976.0,271779.0,275270.0,112891.0,169810.0,211911.0,177426.0,277665.0,282534.0,307821.0,312688.0,333200.0,252191.0,256734.0,265767.0,172184.0,179561.0,170758.0,88850.0,273761.0,252965.0,293458.0,285122.0,380364.0,250924.0,271864.0,303492.0,132538.0,144382.0,155131.0,126568.0,222634.0,302664.0,311511.0,162950.0,307538.0,333872.0,233710.0,300455.0,160114.0,89121.0,156863.0,145256.0,177881.0,299996.0,204170.0,282302.0
D_97,39664.0,29984.0,34860.0,40370.0,21017.0,22200.0,23846.0,32178.0,44813.0,49360.0,44598.0,49912.0,44442.0,31390.0,37323.0,46322.0,19788.0,20726.0,24647.0,26646.0,45565.0,47160.0,40966.0,50743.0,45548.0,31832.0,38786.0,38852.0,21897.0,19522.0,25286.0,30297.0,49581.0,45585.0,51147.0,41930.0,56755.0,41363.0,47348.0,51150.0,25054.0,23018.0,27755.0,30133.0,47924.0,39497.0,39826.0,49993.0,49825.0,36364.0,42968.0,43809.0,18998.0,25407.0,33811.0,27466.0,46041.0,46219.0,47350.0,50598.0,53700.0,40833.0,41880.0,41906.0,26449.0,28047.0,26872.0,14806.0,44768.0,39770.0,48436.0,45718.0,58040.0,39094.0,43309.0,47445.0,22062.0,22868.0,25389.0,20335.0,34533.0,49527.0,51976.0,23163.0,50049.0,54083.0,37399.0,45276.0,25597.0,14548.0,25379.0,24191.0,27923.0,48165.0,31385.0,44958.0
Gm,320977.0,208352.0,254562.0,281385.0,107284.0,123741.0,134016.0,175149.0,268410.0,259401.0,254636.0,280679.0,336530.0,210592.0,259259.0,317632.0,106206.0,102809.0,128289.0,139518.0,261456.0,286169.0,205056.0,248814.0,310168.0,224673.0,250288.0,240800.0,114602.0,105495.0,135996.0,156166.0,264333.0,250268.0,258645.0,205850.0,392689.0,303287.0,352771.0,355161.0,132115.0,122026.0,136651.0,155101.0,243513.0,213994.0,195398.0,276030.0,347151.0,238782.0,287959.0,291982.0,98725.0,137872.0,174415.0,135605.0,248058.0,236067.0,258734.0,252647.0,386000.0,271611.0,263368.0,259943.0,153423.0,152606.0,140670.0,117862.0,251417.0,209231.0,244479.0,238525.0,424506.0,260084.0,275410.0,307545.0,110591.0,115525.0,130176.0,146928.0,215564.0,245403.0,253751.0,232694.0,296788.0,354525.0,242491.0,330105.0,132714.0,118784.0,135195.0,134440.0,211439.0,235640.0,165046.0,235065.0
i6A,58514.0,40101.0,47733.0,50180.0,0,0,0,0,0,37092.0,0,43635.0,53243.0,39831.0,43705.0,42259.0,0,0,0,0,0,50547.0,0,35493.0,52283.0,52064.0,52357.0,0,0,0,0,0,45273.0,49708.0,40275.0,0,0,40378.0,57883.0,57957.0,0,0,40490.0,0,42940.0,0,0,43930.0,0,38482.0,52196.0,42078.0,0,0,0,0,40095.0,41787.0,46620.0,0,53848.0,0,42731.0,47305.0,0,0,0,0,0,0,45624.0,0,0,44994.0,50857.0,44030.0,0,0,0,0,0,44883.0,50025.0,0,49415.0,47221.0,37718.0,53011.0,0,0,0,0,0,40730.0,0,0
io6A,18675.0,12989.0,14615.0,15811.0,6955.0,6127.0,6979.0,10849.0,18331.0,20071.0,23219.0,23495.0,16977.0,14410.0,15771.0,27860.0,7067.0,5802.0,7046.0,9078.0,22183.0,21734.0,13716.0,23572.0,17299.0,15189.0,17535.0,16287.0,9115.0,6864.0,9347.0,12432.0,22469.0,22593.0,22832.0,19863.0,33155.0,29684.0,30784.0,33045.0,14169.0,10094.0,11928.0,15308.0,26139.0,20730.0,17111.0,27571.0,32608.0,19746.0,27827.0,22848.0,7121.0,11160.0,17746.0,9777.0,25849.0,23735.0,25109.0,24475.0,18619.0,28095.0,22427.0,18639.0,8845.0,14524.0,12713.0,9093.0,17983.0,21261.0,24157.0,25501.0,35654.0,16803.0,18329.0,20066.0,12340.0,8092.0,9141.0,8959.0,24876.0,20726.0,24332.0,20606.0,21837.0,26574.0,12648.0,25383.0,13617.0,10005.0,8747.0,12474.0,24495.0,21555.0,18906.0,24265.0
k2C,903.0,508.0,976.0,865.0,1349.0,1273.0,1059.0,1296.0,2475.0,2621.0,2759.0,1987.0,1025.0,878.0,846.0,1117.0,1524.0,1563.0,1749.0,1440.0,2574.0,3172.0,2794.0,2849.0,1148.0,553.0,1084.0,1016.0,1443.0,1078.0,1773.0,1831.0,3047.0,3043.0,3030.0,3349.0,1105.0,935.0,1151.0,1007.0,1579.0,1230.0,1564.0,1678.0,3100.0,2555.0,3589.0,3123.0,1317.0,1459.0,1230.0,1133.0,1363.0,1437.0,1722.0,2127.0,3579.0,3955.0,3259.0,3209.0,1504.0,1306.0,1215.0,1140.0,2435.0,1853.0,1517.0,603.0,3978.0,3447.0,2975.0,3220.0,1696.0,1801.0,1572.0,2128.0,1983.0,2212.0,1808.0,1921.0,2768.0,4018.0,3957.0,764.0,1657.0,2073.0,2001.0,1579.0,1922.0,869.0,2046.0,2014.0,1371.0,3258.0,3209.0,2912.0
m1A,17805.0,11202.0,14803.0,11927.0,4964.0,4960.0,5378.0,3793.0,7002.0,6742.0,6450.0,5810.0,17547.0,10232.0,8356.0,12049.0,4060.0,4732.0,5559.0,3375.0,7759.0,7789.0,6409.0,6782.0,15245.0,6444.0,10578.0,11088.0,5071.0,1982.0,5031.0,4286.0,7531.0,6339.0,7068.0,5351.0,13493.0,6625.0,7003.0,4864.0,3090.0,3021.0,3937.0,5045.0,5151.0,4331.0,3741.0,5580.0,14012.0,8105.0,6624.0,8442.0,2548.0,1878.0,3847.0,3618.0,5558.0,6177.0,5298.0,5306.0,21229.0,5765.0,9403.0,8955.0,4414.0,2036.0,2274.0,361.0,8565.0,5250.0,4899.0,3774.0,15197.0,10087.0,8863.0,12361.0,1892.0,2095.0,2064.0,1225.0,1729.0,4631.0,4700.0,715.0,14252.0,10955.0,11781.0,8741.0,2338.0,1029.0,4707.0,1993.0,1118.0,5076.0,6894.0,4493.0
m1Am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m227G,0,0,0,0,0,0,0,0,0,0,0,0,225.0,0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m22G,13166.0,9064.0,10849.0,9632.0,3287.0,3350.0,3081.0,2858.0,5122.0,5409.0,4123.0,4260.0,13805.0,8364.0,9035.0,9311.0,2538.0,2976.0,3622.0,2826.0,5928.0,5543.0,4546.0,4416.0,11109.0,7985.0,7687.0,9614.0,3325.0,2658.0,3507.0,3223.0,5160.0,4603.0,5303.0,4125.0,11064.0,9818.0,8226.0,9786.0,3222.0,2803.0,2404.0,3628.0,3507.0,3949.0,2539.0,4363.0,11824.0,8060.0,7396.0,8256.0,2666.0,3107.0,2734.0,2420.0,4151.0,3534.0,3731.0,4296.0,16117.0,8020.0,6780.0,7345.0,5392.0,2520.0,2125.0,2164.0,6606.0,3430.0,3396.0,2786.0,11359.0,10106.0,9115.0,11162.0,2382.0,2223.0,3632.0,2772.0,3216.0,3518.0,3241.0,3082.0,11186.0,10654.0,12269.0,11499.0,2493.0,3302.0,4982.0,3267.0,2637.0,3879.0,5199.0,3269.0
m28A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.0,0,0,0,0,0,0,0,0,0,0,240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m2A,1984764.0,1263678.0,1590731.0,1726134.0,759919.0,859482.0,927949.0,1349916.0,1954529.0,1799012.0,1634667.0,1772479.0,2109621.0,1375276.0,1688939.0,2081856.0,856504.0,837065.0,976478.0,1100608.0,2022000.0,1980252.0,1429956.0,1608884.0,2057205.0,1621643.0,1731005.0,1640486.0,921446.0,893019.0,1101456.0,1331072.0,2044112.0,1841017.0,1762550.0,1401941.0,2518193.0,2025992.0,2493592.0,2485052.0,1062957.0,1040225.0,1135693.0,1294294.0,1958580.0,1708315.0,1417194.0,1858435.0,2272421.0,1787843.0,2113594.0,2172183.0,864078.0,1216935.0,1432962.0,1141245.0,1926284.0,1800522.0,1951540.0,1971921.0,2586026.0,2005594.0,1941176.0,1843407.0,1220231.0,1310033.0,1181836.0,1135439.0,1911660.0,1639230.0,1865799.0,1827809.0,2691145.0,1807441.0,2008214.0,2227783.0,983818.0,1060942.0,1163394.0,1313720.0,1726364.0,1841740.0,1890889.0,1947141.0,2042015.0,2508048.0,1695773.0,2307985.0,1118030.0,1113545.0,1094330.0,1168338.0,1673476.0,1899247.0,1279859.0,1828509.0
m3C,16717.0,11418.0,14758.0,12553.0,5970.0,5589.0,5889.0,4180.0,8688.0,9306.0,7316.0,7216.0,18682.0,10034.0,11407.0,11676.0,5180.0,5935.0,6155.0,4826.0,9320.0,9628.0,8537.0,8323.0,15346.0,10700.0,10919.0,12007.0,5865.0,5158.0,5502.0,5593.0,9396.0,7457.0,8674.0,7430.0,14929.0,12425.0,12284.0,11959.0,5971.0,5935.0,4832.0,5596.0,7298.0,6872.0,5676.0,8534.0,14777.0,9346.0,9969.0,11865.0,0,4983.0,4939.0,4399.0,7960.0,6505.0,7522.0,7346.0,19922.0,10651.0,9735.0,9262.0,9037.0,4454.0,3792.0,0,10943.0,6602.0,7062.0,4859.0,16227.0,11479.0,12086.0,13170.0,4041.0,4150.0,4374.0,2185.0,2070.0,6102.0,6164.0,901.0,14924.0,13895.0,15509.0,15302.0,4909.0,922.0,8544.0,0,1564.0,6789.0,8760.0,6230.0
